,Number,Player,Prices_TwoPlusTry,Website
85,1,James Tedesco,14,Sportsbet
86,2,Daniel Tupou,7,Sportsbet
87,3,Billy Smith,14,Sportsbet
88,4,Robert Toia,19,Sportsbet
89,5,Dominic Young,5.5,Sportsbet
90,6,Sandon Smith,31,Sportsbet
91,7,Hugo Savala,51,Sportsbet
92,8,Nat Butcher,101,Sportsbet
93,9,Connor Watson,61,Sportsbet
94,10,Naufahu Whyte,101,Sportsbet
95,11,Angus Crichton,23,Sportsbet
96,12,Siua Wong,51,Sportsbet
97,13,Victor Radley,101,Sportsbet
98,14,Zach Dockar-Clay,91,Sportsbet
99,15,Salesi Foketi,101,Sportsbet
100,16,Blake Steep,101,Sportsbet
101,17,Spencer Leniu,101,Sportsbet
102,1,William Kennedy,11,Sportsbet
103,2,Samuel Stonestreet,,Sportsbet
104,3,Jesse Ramien,8.75,Sportsbet
105,4,Mawene Hiroti,11,Sportsbet
106,5,Ronaldo Mulitalo,3.9,Sportsbet
107,6,Braydon Trindall,19,Sportsbet
108,7,Nicho Hynes,26,Sportsbet
109,8,Addin Fonua-Blake,13,Sportsbet
110,9,Blayke Brailey,41,Sportsbet
111,10,Oregon Kaufusi,81,Sportsbet
112,11,Briton Nikora,6.75,Sportsbet
113,12,Teig Wilton,23,Sportsbet
114,13,Cameron McInnes,101,Sportsbet
115,14,Daniel Atkinson,23,Sportsbet
116,15,Siosifa Talakai,101,Sportsbet
117,16,Toby Rudolf,51,Sportsbet
118,17,Thomas Hazelton,61,Sportsbet
119,1,Lehi Hopoate,9,Sportsbet
120,2,Jason Saab,4.4,Sportsbet
121,3,Tolutau Koula,11.5,Sportsbet
122,4,Reuben Garrick,12,Sportsbet
123,5,Clayton Faulalo,6,Sportsbet
124,6,Luke Brooks,41,Sportsbet
125,7,Daly Cherry-Evans,31,Sportsbet
126,8,Josh Aloiai,91,Sportsbet
127,9,Jazz Tevaga,67,Sportsbet
128,10,Siosiua Taukeiaho,101,Sportsbet
129,11,Haumole Olakau'atu,10.5,Sportsbet
130,12,Ben Trbojevic,29,Sportsbet
131,13,Jake Trbojevic,101,Sportsbet
132,14,Jake Simpkin,101,Sportsbet
133,15,Nathan Brown,101,Sportsbet
134,16,Ethan Bullemor,31,Sportsbet
135,17,Toafofoa Sipley,101,Sportsbet
136,1,Jye Gray,7,Sportsbet
137,2,Alex Johnston,4.3,Sportsbet
138,3,Euan Aitken,14,Sportsbet
139,4,Jack Wighton,11,Sportsbet
140,5,Isaiah Tass,5.5,Sportsbet
141,6,Latrell Mitchell,7.75,Sportsbet
142,7,Jayden Sullivan,26,Sportsbet
143,8,Sean Keppie,101,Sportsbet
144,9,Peter Mamouzelos,61,Sportsbet
145,10,Tevita Tatola,101,Sportsbet
146,11,Keaon Koloamatangi,12.5,Sportsbet
147,12,Jai Arrow,34,Sportsbet
148,13,Lachlan Hubner,51,Sportsbet
149,14,Liam Le Blanc,91,Sportsbet
150,15,Siliva Havili,91,Sportsbet
151,16,Tallis Duncan,31,Sportsbet
152,17,Davvy Moale,81,Sportsbet
153,1,Scott Drinkwater,5.5,Sportsbet
154,2,Robert Derby,4.9,Sportsbet
155,3,Jaxon Purdue,9.75,Sportsbet
156,4,Viliami Vailea,11.5,Sportsbet
157,5,Murray Taulagi,4,Sportsbet
158,6,Tom Dearden,10,Sportsbet
159,7,Jake Clifford,23,Sportsbet
160,8,Jordan McLean,101,Sportsbet
161,9,Reece Robson,34,Sportsbet
162,10,Jason Taumalolo,101,Sportsbet
163,11,John Bateman,23,Sportsbet
164,12,Kai O'Donnell,31,Sportsbet
165,13,Reuben Cotter,46,Sportsbet
166,14,Sam McIntyre,67,Sportsbet
167,15,Jeremiah Nanai,17,Sportsbet
168,16,Griffin Neame,91,Sportsbet
169,17,Coen Hess,91,Sportsbet
170,1,Isaiah Iongi,12,Sportsbet
171,2,Josh Addo-Carr,4.9,Sportsbet
172,3,Will Penisini,10.5,Sportsbet
173,4,Sean Russell,15,Sportsbet
174,5,Zac Lomax,4.5,Sportsbet
175,6,Dylan Brown,26,Sportsbet
176,7,Dean Hawkins,34,Sportsbet
177,8,Joe Ofahengaue,101,Sportsbet
178,9,Ryley Smith,67,Sportsbet
179,10,Junior Paulo,91,Sportsbet
180,11,Shaun Lane,31,Sportsbet
181,12,Kitione Kautoga,51,Sportsbet
182,13,J'maine Hopgood,61,Sportsbet
183,14,Dylan Walker,71,Sportsbet
184,15,Luca Moretti,91,Sportsbet
185,16,Charlie Guymer,101,Sportsbet
186,17,Sam Tuivaiti,91,Sportsbet
187,1,Kaeo Weekes,10,Sportsbet
188,2,Savelio Tamale,5,Sportsbet
189,3,Matthew Timoko,9.75,Sportsbet
190,4,Sebastian Kris,8,Sportsbet
191,5,Xavier Savage,3.7,Sportsbet
192,6,Ethan Strange,21,Sportsbet
193,7,Jamal Fogarty,26,Sportsbet
194,8,Josh Papalii,81,Sportsbet
195,9,Tom Starling,34,Sportsbet
196,10,Joseph Tapine,51,Sportsbet
197,11,Hudson Young,6.75,Sportsbet
198,12,Matty Nicholson,13,Sportsbet
199,13,Corey Horsburgh,41,Sportsbet
200,14,Owen Pattie,61,Sportsbet
201,15,Simi Sasagi,101,Sportsbet
202,16,Morgan Smithies,101,Sportsbet
203,17,Ata Mariota,61,Sportsbet
204,1,Ryan Papenhuyzen,3.05,Sportsbet
205,2,Grant Anderson,2.85,Sportsbet
206,3,Jack Howarth,9.75,Sportsbet
207,4,Moses Leo,12.5,Sportsbet
208,5,Xavier Coates,3.35,Sportsbet
209,6,Cameron Munster,10,Sportsbet
210,7,Jahrome Hughes,9.75,Sportsbet
211,8,Stefano Utoikamanu,46,Sportsbet
212,9,Harry Grant,9,Sportsbet
213,10,Josh King,61,Sportsbet
214,11,Shawn Blore,31,Sportsbet
215,12,Eliesa Katoa,5.9,Sportsbet
216,13,Trent Loiero,91,Sportsbet
217,14,Tyran Wishart,14,Sportsbet
218,15,Alec MacDonald,101,Sportsbet
219,16,Tui Kamikamica,91,Sportsbet
220,17,Bronson Garlick,81,Sportsbet
221,1,Charnze Nicoll-Klokstad,21,Sportsbet
222,2,Taine Tuaupiki,6.75,Sportsbet
223,3,Rocco Berry,21,Sportsbet
224,4,Ali Leiataua,9.75,Sportsbet
225,5,Adam Pompey,6.75,Sportsbet
226,6,Chanel Harris-Tavita,21,Sportsbet
227,7,Luke Metcalf,21,Sportsbet
228,8,James Fisher-Harris,91,Sportsbet
229,9,Wayde Egan,67,Sportsbet
230,10,Mitchell Barnett,71,Sportsbet
231,11,Kurt Capewell,41,Sportsbet
232,12,Marata Niukore,67,Sportsbet
233,13,Erin Clark,91,Sportsbet
234,14,Bunty Afoa,101,Sportsbet
235,15,Jackson Ford,101,Sportsbet
236,16,Demitric Sifakula,,Sportsbet
237,17,Leka Halasima,101,Sportsbet
238,1,Kalyn Ponga,7.75,Sportsbet
239,2,Kyle McCarthy,6,Sportsbet
240,3,Dane Gagai,11.5,Sportsbet
241,4,Bradman Best,6,Sportsbet
242,5,Greg Marzhew,3.75,Sportsbet
243,6,Fletcher Sharpe,9.75,Sportsbet
244,7,Phoenix Crossland,41,Sportsbet
245,8,Brodie Jones,67,Sportsbet
246,9,Jayden Brailey,51,Sportsbet
247,10,Leo Thompson,61,Sportsbet
248,11,Thomas Cant,41,Sportsbet
249,12,Kai Pearce-Paul,26,Sportsbet
250,13,Tyson Frizell,34,Sportsbet
